Symbol,baseMean,log2FoldChange,padj
Pax9,7.148200994,-0.220240395,
Irx2,222.6184174,-0.632891091,0.365130518
Col1a1,38067.14574,-0.360700391,0.319574989
Itga3,262.5376224,0.552190245,0.382531082
Sgca,408.7899752,3.130968587,0.062345446
Dlx3,154.8347263,-0.436498032,0.904130002
Foxm1,69.76752934,-0.153291168,0.786165358
Itfg2,260.0205248,0.190999725,0.406078125
Nrip2,80.20974692,0.059497342,0.896132476
Tulp3,500.736096,-0.198797412,0.106536968
Gtf2h4,311.7586816,-0.058075297,0.774479665
Tubb5,5006.095094,-0.21761064,0.419909514
Ell2,1200.170003,-0.067100425,0.767261362
Jup,5415.367203,-0.496124716,0.010730324
Fkbp10,695.2324689,0.000129276,0.999725138
Klhl10,11.27285824,0.249144214,
Mnx1,0.078829579,-0.315163641,
Nom1,567.1501893,0.013940683,0.93415722
Ergic1,3318.757558,-0.1236637,0.603940014
Tnk1,132.5464721,-0.207758603,0.391237204
Acap1,51.78869544,0.330459035,0.659478358
Tcea3,440.9103503,2.655883233,0.025157626
Csn3,1.669142975,-1.592024777,
Ifrd1,2528.483177,0.233002446,0.198597072
Stk38l,451.597573,0.055513336,0.782669668
Brpf1,1016.062814,0.128429735,0.370470333
Akr1b3,2552.751929,0.110632512,0.703753636
Hoxc13,58.58569877,-0.341886997,0.951710874
Hoxc11,56.04376654,0.152390074,0.888994579
Hoxc8,1922.805873,0.052328883,0.897131466
Hoxc6,1310.714812,-0.093338324,0.753974054
Gstt1,2441.750141,-0.303506366,0.126603997
Gstt3,850.0289433,-0.208206275,0.545906639
Ddt,992.5016678,0.215221702,0.300885593
Tat,1.507500341,4.018065199,
Marveld3,2.908027349,1.833331759,
Ddx18,716.5639141,-0.116158544,0.310087743
Ubl3,2551.204286,0.180801081,0.215892602
Gramd3,381.6771954,0.190819322,0.20223135
Eef1e1,218.1906783,-0.275432649,0.261036353
Akt1,3455.893194,0.006709052,0.975254734
Cldn15,658.8779466,-0.10391197,0.854124062
Il16,343.5259831,-0.024969128,0.958483536
Tcirg1,931.0307902,0.053365551,0.850208919
Naglu,959.6192865,-0.187126167,0.235829006
Coasy,1563.828932,0.219812975,0.445362557
Smo,1614.477451,-0.082099331,0.742175419
Tspan33,15.96232378,0.441306853,
